Product Name,Unit,Unit Value
Samai Poondu Murukku,1,PS
Proso Millet Samba Semolina / பனிவரகு சம்பா ரவா,250,G
Tomato  (thakkali) Thokku ,1,PS
Mango Ginger (maa Inji) Thokku,1,PS
Citron (naarthangai) Pickle,1,PS
Lentil Powder (paruppu Podi),1,PS
Garlic Powder (poondu Podi) ,1,PS
Indian Pennywort (vallarai) Powder,1,PS
Horsegram Powder (kollu Podi),1,PS
Mudakathan  Podi,1,PS
Peanut Powder (nilakadalai Podi),1,PS
Pearlmillet Poha / கம்பு அவல்,250,G
Rasa Podi 100 Gm,1,PS
Red Banana/சிவப்பு வாழைப்பழம்,1,KG
Sunflower Oil  (sooriyakaanthi Ennai),500,ML
Coconut Oil (thengai Ennai),1,L
Mustard Oil,500,ML
Groundnut Oil (kadalai Ennai),500,ML
Sunflower Oil (sooriyakaanthi Ennai),1,L
Pistha Green,1,PS
Walnut,100,G
Badam Pisin,100,G
Fried Chilli Cashew,200,G
Breakfast Mix,1,PS
Red Aval(thin),250,G
Karuppu Kavuni Aval,250,G
Assam Premium Tea,100,G
Aroma Gold 70% 30%,150,G
Gold Ribbon Coffee 65% 35%-,200,G
Italian Roast Coffee Bean,200,G
Black Raisin Seed,1,PS
Yellow Raisin,100,G
Seed Mix,200,G
Dates&nuts- Energy Balls,1,PS
Chia Seed,100,G
Pumpkin Seed,1,PS
Sunflower Seed,1,PS
Flax Seed,100,G
Sabja Seed,100,G
Muskmelon Seed,100,G
Flax Seed Roasted,1,PS
Cucumber Seed,100,G
Dry Fig (atthi),200,G
Algerian Dates,200,G
Vellai Ravai(500gm),500,G
Drumstick Semiya,1,PS
Kambu Semiya,1,PS
Makka Chola Rava 250 Gm,1,PS
Soya Semiya,1,PS
Wheat Semiya,1,PS
Mudakattraan Soup,1,PS
Vaalai Thandu Soup (100gm),1,PS
Amla Soup,1,PS
Vallara Keerai Soup (100gm),1,PS
Manathakkali  Soup (100gm),1,PS
Ko Viboothi,1,BOX
Sm Ragi Pastha ( Finger Millet),1,PS
Wheat Karuppukavuni Pastha,1,PS
Wheat Samai Pastha,1,PS
Wheat Multi Pasta,1,PS
Sm Thinai Pasthas (foxtail Millet),1,PS
Sm Samai Pastha( Little Millet),1,PS
Sm Kuthiraivali Pastha ( Banyard Millet),1,PS
Sm Varagu Pastha ( Kodo Millet),1,PS
Sm Multi Millet Patha,1,PS
Red Rice (sivappu Arisi) Pasta,1,PS
Sm Moringa Pastha,1,PS
Sm Wheat Pastha,1,PS
White Pepper,1,PS
White Pepper,1,PS
Black Pepper,1,PS
Theja Chilli,1,PS
Sm Almond Millet Bites,1,PS
Red Violet Wine,1,PS
Golden Passion Wine,1,PS
